english,name,duration,release_date,director,scenarists,actors,type,ratings,brief_into,movie_id
1,The Fate of the Furious,2h 16min,14 April 2017 (USA),,"['Chris Morgan', 'Gary Scott Thompson', 'Universal Pictures', 'One Race Films', 'Original Film']","['Vin Diesel', 'Jason Statham', 'Dwayne Johnson']","['Action', 'Adventure', 'Crime']",['7.2'],"Now that Dom and Letty are on their honeymoon and Brian and Mia have retired from the game-and the rest of the crew has been exonerated-the globetrotting team has found a semblance of a normal life. But when a mysterious woman seduces Dom into the world of crime he can't seem to escape and a betrayal of those closest to him, they will face trials that will test them as never before. From the shores of Cuba and the streets of New York City to the icy plains off the arctic Barents Sea, the elite force will crisscross the globe to stop an anarchist from unleashing chaos on the world's stage... and to bring home the man who made them a family.",3
1,Kong: Skull Island,1h 58min,10 March 2017 (USA),,"['Dan Gilroy', 'Max Borenstein', 'Legendary Entertainment', 'Tencent Pictures', 'Warner Bros.']","['Tom Hiddleston', 'Samuel L. Jackson', 'Brie Larson']","['Action', 'Adventure', 'Fantasy']",['6.9'],"A washed up monster chaser convinces the U.S. Government to fund a trip to an unexplored island in the South Pacific. Under the guise of geological research, the team travels to ""Skull Island"". Upon arrival, the group discover that their mission may be complicated by the wildlife which inhabits the island. The beautiful vistas and deadly creatures create a visually stunning experience that is sure to keep your attention.",6
1,Ghost in the Shell,1h 47min,31 March 2017 (USA),,"['Shirow Masamune', 'Jamie Moss', 'Paramount Pictures', 'DreamWorks', 'Reliance Entertainment']","['Scarlett Johansson', 'Pilou Asbæk', 'Takeshi Kitano']","['Action', 'Crime', 'Drama']",['6.7'],"In the near future, Major Motoko Kusanagi (Scarlett Johansson) is the first of her kind: A human saved from a terrible terrorist attack, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals. When terrorism reaches a new level that includes the ability to hack into people's minds and control them, Major Kusanagi is uniquely qualified to stop it. As she prepares to face a new enemy, Major Kusanagi discovers that she has been lied to: her life was not saved, it was stolen. She will stop at nothing to recover her past, find out who did this to her and stop them before they do it to others. Based on the internationally acclaimed Japanese Manga, ""The Ghost in the Shell.""",10
1,Guardians of the Galaxy Vol. 2,2h 16min,5 May 2017 (USA),,"['James Gunn', 'Dan Abnett', 'Marvel Studios', 'Walt Disney Pictures']","['Chris Pratt', 'Zoe Saldana', 'Dave Bautista']","['Action', 'Adventure', 'Sci-Fi']",['8.2'],"Set to the backdrop of 'Awesome Mixtape #2,' Marvel's Guardians of the Galaxy Vol. 2 continues the team's adventures as they traverse the outer reaches of the cosmos. The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage. Old foes become new allies and fan-favorite characters from the classic comics will come to our heroes' aid as the Marvel cinematic universe continues to expand.",12
1,Logan,2h 17min,3 March 2017 (USA),,"['James Mangold', 'Scott Frank', ""Donners' Company"", 'Kinberg Genre', 'Marvel Entertainment']","['Hugh Jackman', 'Patrick Stewart', 'Dafne Keen']","['Action', 'Drama', 'Sci-Fi']",['8.4'],"In 2029 the mutant population has shrunken significantly and the X-Men have disbanded. Logan, whose power to self-heal is dwindling, has surrendered himself to alcohol and now earns a living as a chauffeur. He takes care of the ailing old Professor X whom he keeps hidden away. One day, a female stranger asks Logan to drive a girl named Laura to the Canadian border. At first he refuses, but the Professor has been waiting for a long time for her to appear. Laura possesses an extraordinary fighting prowess and is in many ways like Wolverine. She is pursued by sinister figures working for a powerful corporation; this is because her DNA contains the secret that connects her to Logan. A relentless pursuit begins - In this third cinematic outing featuring the Marvel comic book character Wolverine we see the superheroes beset by everyday problems. They are aging, ailing and struggling to survive financially. A decrepit Logan is forced to ask himself if he can or even wants to put his ...",16
1,La La Land,2h 8min,25 December 2016 (USA),,"['Damien Chazelle', 'Black Label Media', 'Gilbert Films', 'Impostor Pictures']","['Ryan Gosling', 'Emma Stone', 'Rosemarie DeWitt']","['Comedy', 'Drama', 'Music']",['8.3'],"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",17
1,The Shawshank Redemption,2h 22min,14 October 1994 (USA),,"['Stephen King', 'Frank Darabont', 'Castle Rock Entertainment']","['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']","['Crime', 'Drama']",['9.3'],"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.",19
1,Forrest Gump,2h 22min,6 July 1994 (USA),['Robert Zemeckis'],"['Winston Groom', 'Eric Roth', 'Paramount Pictures']","['Tom Hanks', 'Robin Wright', 'Gary Sinise']","['Comedy', 'Drama', 'Romance']",['8.8'],"Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.",22
1,Sing,1h 48min,21 December 2016 (USA),,"['Garth Jennings', 'Dentsu', 'Fuji Television Network', 'Illumination Entertainment']","['Matthew McConaughey', 'Reese Witherspoon', 'Seth MacFarlane']","['Animation', 'Comedy', 'Family']",['7.2'],"In a town with no humans, just animals, a koala named Buster Moon realizes he will soon lose his theater if he cannot turn his luck around. He comes up with a plan to host a singing competition, where the winner will receive $100,000. Will this be enough to return his theater to glory?",24
1,13 Reasons Why,1h,TV Series (2017– ),,"['Brian Yorkey', 'July Moon Productions', 'Kicked to the Curb Productions', 'Anonymous Content']","['Dylan Minnette', 'Katherine Langford', 'Christian Navarro']","['Drama', 'Mystery']",['8.7'],"Thirteen Reasons Why, based on the best-selling books by Jay Asher, follows teenager Clay Jensen (Dylan Minnette) as he returns home from school to find a mysterious box with his name on it lying on his porch. Inside he discovers a group of cassette tapes recorded by Hannah Baker (Katherine Langford) -his classmate and crush-who tragically committed suicide two weeks earlier. On tape, Hannah unfolds an emotional audio diary, detailing the thirteen reasons why she decided to end her life. Through Hannah and Clay's dual narratives, Thirteen Reasons Why weaves an intricate and heartrending story of confusion and desperation that will deeply affect viewers.",27
1,Passengers,1h 56min,21 December 2016 (USA),,"['Jon Spaihts', 'Columbia Pictures', 'LStar Capital', 'Village Roadshow Pictures']","['Jennifer Lawrence', 'Chris Pratt', 'Michael Sheen']","['Adventure', 'Drama', 'Romance']",['7.0'],"The spaceship, Starship Avalon, in its 120-year voyage to a distant colony planet known as the ""Homestead Colony"" and transporting 5,258 people has a malfunction in one of its sleep chambers. As a result one hibernation pod opens prematurely and the one person that awakes, Jim Preston (Chris Pratt) is stranded on the spaceship, still 90 years from his destination.",29
