english,name,director,scenarists,actors,movie_type,release_date,duration,IMDB,brief_into,ratings
0,速度与激情8 The Fate of the Furious,F·加里·格雷,"['克里斯·摩根', '盖瑞·斯科特·汤普森']","['范·迪塞尔', '道恩·强森', '查理兹·塞隆', '杰森·斯坦森', '米歇尔·罗德里格兹', '泰瑞斯·吉布森', '卢达克里斯', '库尔特·拉塞尔', '娜塔莉·伊曼纽尔', '卢克·伊万斯', '埃尔莎·帕塔奇', '克里斯托弗·海维尤', '斯科特·伊斯特伍德', '帕特里克·圣埃斯普利特']","['动作', '犯罪']","['2017-04-14(美国/中国大陆)', '2017-04-12(法国)']",136分钟,http://www.imdb.com/title/tt4630562,多米尼克（范·迪塞尔 Vin Diesel 饰）与莱蒂（米歇尔·罗德里格兹 Michelle Rodriguez 饰）共度蜜月，布莱恩与米娅退出了赛车界，这支曾环游世界的顶级飞车家族队伍的生活正渐趋平淡。然而，一位神秘女子Cipher（查理兹·塞隆 Charlize T heron 饰）的出现，令整个队伍卷入信任与背叛的危机，面临前所未有的考验。,7.2
0,逃出绝命镇 Get Out,乔丹·皮尔,['乔丹·皮尔'],"['丹尼尔·卡卢亚', '艾莉森·威廉姆斯', '凯瑟琳·基纳', '布莱德利·惠特福德', '卡赖伯·兰德里·琼斯', '马库斯·亨德森', '贝蒂·加布里埃尔', '勒凯斯·斯坦菲尔德', '斯蒂芬·鲁特', '李雷尔·哈瓦瑞', '艾希礼·勒孔特·坎贝尔', '卡伦·L·拉基', '朱莉·安·多恩', '杰拉尔丁·辛格', '理查德·赫德', '埃里卡·亚历山大']","['悬疑', '恐怖']","['2017-01-23(圣丹斯电影节)', '2017-02-24(美国)']",104分钟,http://www.getoutfilm.com,"黑人小伙克里斯（丹尼尔·卡卢亚 Daniel Kaluuya 饰）和白人女孩露丝（艾莉森·威廉姆斯 Allison Williams 饰）相恋，虽然两人之间的感情十分要好，但克里斯一直为自己的肤色心存芥蒂。某日，两人相约前往露丝家做客，在那里，克里斯见到了露丝的父母迪恩（布莱德利·惠特福德 Bradley Whitford 饰）和米西（凯瑟琳·基纳 Catherine Keener 饰），除了露丝的弟弟吉瑞米（卡莱伯·兰德里·琼斯 Caleb Landry Jones 饰）对克里斯展现出了一丝敌意外，一切都堪称完美。
                                        
                                    　　隔日，克里斯参加了露丝家举办的派对，在派对中，克里斯遇见了旧友安德鲁（凯斯·斯坦菲尔德 Keith Stanfield 饰），让克里斯百思不得其解的是，安德鲁的穿着、谈吐和举止和先前大相径庭，判若两人。种种诡异的蛛丝马迹让克里斯渐渐察觉...",7.5
0,银河护卫队2 Guardians of the Galaxy Vol. 2,詹姆斯·古恩,"['詹姆斯·古恩', '丹·阿布内特', '安迪·兰宁']","['克里斯·普拉特', '佐伊·索尔达娜', '戴夫·巴蒂斯塔', '范·迪塞尔', '布莱德利·库珀', '凯伦·吉兰', '迈克尔·鲁克', '庞·克莱门捷夫', '伊丽莎白·德比茨基', '肖恩·古恩', '库尔特·拉塞尔', '克里斯·沙利文', '大卫·哈塞尔霍夫', '西尔维斯特·史泰龙', '杨紫琼']","['动作', '科幻', '冒险']","['2017-05-05(中国大陆/美国)', '2017-04-25(澳大利亚)']",136分钟,http://www.imdb.com/title/tt3896198,漫威影业最新力作《银河护卫队2》带着全新劲爆好听的“劲歌金曲第二辑”回归大银幕！银河护卫队在本集中穿越宇宙，继续外太空的史诗冒险之旅。他们必须共同作战，守护彼此；同时要解开“星爵”彼得·奎尔的身世之谜。旧日敌人变为盟友，漫画中深受喜爱的角色也会现身，对护卫队出手援助。漫威电影宇宙则将持续扩张，进入新纪元！,8.2
0,海边的曼彻斯特 Manchester by the Sea,肯尼思·洛纳根,['肯尼思·洛纳根'],"['卡西·阿弗莱克', '卢卡斯·赫奇斯', '米歇尔·威廉姆斯', 'C·J·威尔逊', '凯尔·钱德勒', '卡拉·海沃德', '格瑞辰·摩尔', '泰特·多诺万', '埃里卡·麦克德莫特', '希瑟·伯恩斯', '蜜西·雅格', '斯蒂芬·亨德森', '约什·汉密尔顿', '卡洛琳·皮克曼', '肖恩·菲茨吉本', '肯尼思·洛纳根', '利亚姆·麦克尼尔', '马修·布罗德里克']","['剧情', '家庭']","['2017-07(中国大陆)', '2016-09-08(多伦多电影节)', '2016-11-18(美国)']",137分钟,http://manchesterbytheseathemovie.com,"李（卡西·阿弗莱克 Casey Affleck 饰）是一名颓废压抑的修理工，在得知哥哥乔伊（凯尔·钱德勒 Kyle Chandler 饰）去世的消息后，李回到了故乡——海边的曼彻斯特处理乔伊的后事。根据乔伊的遗嘱，李将会成为乔伊的儿子帕特里克（卢卡斯·赫奇斯 Lucas Hedg es 饰）的监护人，李打算将帕特里克带回波士顿，但很显然帕特里克并不愿意离开家乡和朋友们，但李亦不愿在这片伤心地久留。
                                    
                                　　原来，曼彻斯特埋藏着李的一段绝望的回忆，他的过失使得两个女儿葬身火海，妻子兰迪（米歇尔·威廉姆斯 Michelle Williams 饰）亦因此而离开了他。此次重回故乡，李再度见到了已经再婚并且即将做妈妈的兰迪，与此同时，帕特里克那失踪已久的母亲艾丽斯（格瑞辰·摩尔 Gretchen Mol 饰）亦联系上了帕特里克，希望他能够成为她的新家庭中的一员。",8.6
0,降临 Arrival,丹尼斯·维伦纽瓦,"['埃里克·海瑟尔', '特德·姜']","['艾米·亚当斯', '杰瑞米·雷纳', '福里斯特·惠特克', '迈克尔·斯图巴', '马志', '马克·奥布莱恩', '乔·柯布登', '派特·凯利', '娜塔莉·希波蒂', '袁罗素', '克里斯蒂安· 杰达', '朱利安·凯西']","['剧情', '科幻']","['2017-01-20(中国大陆)', '2016-09-01(威尼斯电影节)', '2016-11-11(美国)']",116分钟,http://www.arrivalmovie.com,"地球的上空突然出现了十二架贝壳状的不明飞行物，悬浮在十二个不同的国家的上空，外星人向人类发出了讯号，但人类却并不能够解读。美国军方找到了语言学家路易斯（艾米·亚当斯 Amy Adams 饰）和物理学家伊恩（杰瑞米·雷纳 Jeremy Renner 饰），希望两人能够合作破解外星人的语言之谜。
                                    
                                　　经过数次的接触，路易斯发现外星人使用了一种极为特殊的圆环状的文字，并逐渐了解了其中的奥妙。由于一直无法确定外星人来到地球的真正目的，中国、俄罗斯等四国决定对外星人发起进攻，美方亦决定放弃研究将全部人员撤离，在这个节骨眼上，路易斯终于明白了外星人的意图，利用外星人赋予她的特殊的“武器”，路易斯以一人之力改变了未来。",7.7
0,斯隆女士 Miss Sloane,约翰·麦登,['乔纳森·佩雷拉'],"['杰西卡·查斯坦', '古古·姆巴塔-劳', '约翰·利特高', '艾丽森·皮尔', '迈克尔·斯图巴', '马克·斯特朗', '杰克·莱西', '道格拉斯·史密斯', '萨姆·沃特森', '迪伦·贝克', '恩尼斯·埃斯莫', '梅格翰·法伊', '亚历桑德拉·卡斯蒂略', '凯尔·麦克', '杰克·默里']","['剧情', '惊悚']","['2016-11-11(AFI影展)', '2016-12-09(美国)']",132分钟,http://misssloanemovie.com,在华盛顿呼风唤雨的政治说客斯隆女士，在美国枪击事件接连发生的情况下，不惜牺牲自己的职业生涯，以督促政府实施更严格的联邦法律规范枪支。,8.6
0,亚瑟王：斗兽争霸 King Arthur: Legend of the Sword,盖·里奇,"['卓比·哈罗德', '盖·里奇', '莱昂内尔·威格拉姆', '大卫·道金']","['查理·汉纳姆', '裘德·洛', '阿斯特丽德·伯格斯-弗瑞斯贝', '米卡埃尔·佩斯布兰特', '杰曼·翰苏', '安娜贝拉·沃丽丝', '艾瑞克·巴纳', '艾丹·吉伦', '尼尔·马斯克尔', '赫敏·科菲尔德', '凯蒂·麦克格雷斯', '杰奎·安斯蕾', '弗莱迪·福克斯', '波比·迪瓦伊', '朱利安·西格尔', '大卫·贝克汉姆', '杰夫·贝尔', '米莉·布拉迪', '乔治娜·坎贝尔', '丹尼尔·斯蒂森', '伊琳·珀威尔', '迈克尔·麦克埃尔哈顿', '阿德里安·布薛特', '彼得·费迪南多', '汤姆·吴', '金斯利·本-阿德', '盖·里奇']","['动作', '奇幻', '冒险']",['2017-05-12(中国大陆/美国)'],126分钟,http://kingarthurmovie.com,本片改编自亚瑟王圣剑的传说，剧情颠覆传统，一路探索亚瑟从市井到王座的征途。亚瑟的父亲在他小时候就惨遭杀害，亚瑟的叔叔伏提庚（裘德·洛 Jude Law 饰）篡取王位，剥夺了亚瑟（查理·汉纳姆 Charlie Hunnam 饰）的天赐之权。他浑然不知自己的身世，在城市的穷街陋巷里摸爬滚打着长大，但当他拔出石中剑，他的人生就彻底地天翻地覆了，亚瑟不得不接受自己真正的使命。,7.5
0,阿甘正传 Forrest Gump,罗伯特·泽米吉斯,"['艾瑞克·罗斯', 'Winston Groom']","['汤姆·汉克斯', '罗宾·怀特', '加里·西尼斯', '麦凯尔泰·威廉逊', '莎莉·菲尔德', 'Michael Conner Humphreys', '海利·乔·奥斯蒙']","['剧情', '爱情']","['1994-06-23(洛杉矶首映)', '1994-07-06(美国)']",142 分钟,http://www.imdb.com/title/tt0109830,"阿甘（汤姆·汉克斯 饰）于二战结束后不久出生在美国南方阿拉巴马州一个闭塞的小镇，他先天弱智，智商只有75，然而他的妈妈是一个性格坚强的女性，她常常鼓励阿甘“傻人有傻福”，要他自强不息。
                                    
                                　　阿甘像普通孩子一样上学，并且认识了一生的朋友和至爱珍妮（罗宾·莱特·潘 饰），在珍妮和妈妈的爱护下，阿甘凭着上帝赐予的“飞毛腿”开始了一生不停的奔跑。
                                    
                                　　阿甘成为橄榄球巨星、越战英雄、乒乓球外交使者、亿万富翁，但是，他始终忘不了珍妮，几次匆匆的相聚和离别，更是加深了阿甘的思念。
                                    
                                　　有一天，阿甘收到珍妮的信，他们终于又要见面……",9.4
0,分裂 Split,M·奈特·沙马兰,['M·奈特·沙马兰'],"['詹姆斯·麦卡沃伊', '安雅·泰勒-乔伊', '贝蒂·巴克利', '海利·路·理查森', '杰西卡·苏拉', '丽兹·科菲', '布拉德·威廉姆·亨克', '塞巴斯蒂安·阿塞勒斯', '金·迪莱克特', '斯特林·K·布朗', '琳·莱妮', '尼尔·哈夫', '玛丽亚·布雷曼', '布鲁斯·威利斯']","['惊悚', '恐怖']","['2016-12-26(奇幻电影节)', '2017-01-20(美国)']",117分钟,http://www.splitmovie.com,"凯西（安雅·泰勒-乔伊 Anya Taylor-Joy 饰）是一个显得和同龄人格格不入的怪女孩，某日，她和同学克莱尔（海莉·路·理查森 Haley Lu Richardson 饰）、玛西亚（杰西卡·苏拉 Jessica Sula 饰）一起准备坐车回家，哪知道遭到了一神秘男子的袭击和绑架，三人被囚禁在灰暗阴冷的地下室中，面临着未知的凶险命运。
                                    
                                　　绑架三个女孩的，是一个名叫凯文（詹姆斯·麦卡沃伊 James McAvoy 饰）的男人，实际上，他是一位多重人格患者，支配着他的身体的人格，竟有23种之多。弗莱彻（贝蒂·巴克利 Betty Buckley 饰）是凯文的主治医生，她发现，凯文体内的人格之间产生了分歧，更糟糕的是，第24种人格正在慢慢形成，这个人格强壮、邪恶、残忍，一旦他获得了凯文身体的主导权，不仅三个女孩要遭殃，就连凯文本身都将性命不保。",7.2
0,生化危机：终章 Resident Evil: The Final Chapter,保罗·安德森,['保罗·安德森'],"['米拉·乔沃维奇', '伊恩·格雷', '艾丽·拉特', '鲁比·罗丝', '李准基', '肖恩·罗伯茨', '威廉·莱维', '欧文·马肯', '罗拉', '艾尔·安德森', '密尔顿·施尔', '西沃恩·霍奇森', '凯文·奥托', '保罗·汉普赛尔']","['动作', '科幻', '恐怖']","['2017-02-24(中国大陆)', '2016-12-23(日本)', '2017-01-27(美国)']",106分钟(美国),http://www.sonypictures.com/movies/residentevilthefinalchapter/,爱丽丝（米拉·乔沃维奇 Milla Jovovich 饰）在华盛顿特区被威斯克背叛后身陷险境，人类几乎要失去最后的希望。作为唯一的幸存者，也是人类对抗僵尸大军的最后防线，爱丽丝必须回到噩梦开始的地方——浣熊市，才能完成拯救世界救赎人类的正义使命。回归故事发生的起点浣熊市，爱丽丝将和昔日的朋友一起对抗僵尸和最新变种怪物，与 保护伞公司展开了一场惊心动魄的终极决战。,6.6
0,银河护卫队 Guardians of the Galaxy,詹姆斯·古恩,"['詹姆斯·古恩', '尼科尔·帕尔曼', '丹·阿布内特', '安迪·兰宁']","['克里斯·帕拉特 Chris Pratt', '佐伊·索尔达娜', '布莱德利·库珀', '范·迪塞尔', '戴夫·巴蒂斯塔', '李·佩斯', '迈克尔·鲁克', '凯伦·吉兰', '杰曼·翰苏', '本尼西奥·德尔·托罗', '约翰·C·赖利', '格伦·克洛斯', '劳拉·哈德克', '肖恩·古恩', '彼得·塞拉菲诺威茨', '埃米特·斯坎伦', '奥菲利亚·拉维邦德']","['动作', '科幻', '冒险']","['2014-10-10(中国大陆)', '2014-07-21(洛杉矶首映)', '2014-08-01(美国)']",121分钟,http://marvel.com/guardians,彼得·奎尔（克里斯·帕拉特 Chris Pratt 饰）是一名从小被劫持到外太空的地球人，在义父勇度（迈克尔·鲁克 Michael Rooker 饰）的培养下成了一个终极混混，自称“星爵”。一次行动中他偷了一块神秘球体，便成为了赏金猎人火箭浣熊（布莱德利·库珀 B radl ey Cooper 配音）、树人格鲁特（范·迪塞尔 Vin Diesel 配音）的绑架目标，而神秘的卡魔拉（佐伊·索尔达娜 Zoe Saldana 饰）也对神秘球体势在必得。经过笑料百出的坎坷遭遇，星爵被迫和这三人，以及复仇心切的“毁灭者”德拉克斯（戴夫·巴蒂斯塔 Dave Batista 饰）组成小分队逃避“指控者”罗南（李·佩斯 Lee Pace 饰）的追杀。然而这个神秘球体拥有无穷的力量，小分队必须团结一致对付罗南，才有可能解救整个银河系，银河护卫队由此诞生。,8.0
0,肖申克的救赎 The Shawshank Redemption,弗兰克·德拉邦特,"['弗兰克·德拉邦特', '斯蒂芬·金']","['蒂姆·罗宾斯', '摩根·弗里曼', '鲍勃·冈顿', '威廉姆·赛德勒', '克兰西·布朗', '吉尔·贝罗斯', '马克·罗斯顿', '詹姆斯·惠特摩', '杰弗里·德曼', '拉里·布兰登伯格', '尼尔·吉恩托利', '布赖恩·利比', '大卫·普罗瓦尔', '约瑟夫·劳格诺', '祖德·塞克利拉']","['剧情', '犯罪']","['1994-09-10(多伦多电影节)', '1994-10-14(美国)']",142 分钟,http://www.imdb.com/title/tt0111161,"20世纪40年代末，小有成就的青年银行家安迪（蒂姆·罗宾斯 Tim Robbins 饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望似乎虚无缥缈，终身监禁的惩罚无疑注定了安迪接下来灰暗绝望的人生。未过多久，安迪尝试接近囚犯中颇有声望的瑞德（摩根·弗里曼 Morgan Freeman 饰），请求对方帮自己搞来小锤子。以此为契机，二人逐渐熟稔，安迪也仿佛在鱼龙混杂、罪恶横生、黑白混淆的牢狱中找到属于自己的求生之道。他利用自身的专业知识，帮助监狱管理层逃税、洗黑钱，同时凭借与瑞德的交往在犯人中间也渐渐受到礼遇。表面看来，他已如瑞德那样对那堵高墙从憎恨转变为处之泰然，但是对自由的渴望仍促使他朝着心中的希望和目标前进。而关于其罪行的真相，似乎更使这一切朝前推进了一步……
                                        
                                    　　本片根据著名作家斯蒂芬·金（Stephen Edwin King）的...",9.6
